iso3c,country,SP.POP.TOTL,SL.AGR.EMPL.ZS,SL.IND.EMPL.ZS,SL.SRV.EMPL.ZS,asalariados,patrones,tcp,familiares,rel_salariales,rel_no_salariales
AFG,Afghanistan,29620293.90909091,55.02499944513494,14.166636120189319,30.80836382779207,11.235999974337497,0.8877272768454124,57.513001295653254,30.36327275362882,12.12372725118291,87.87627404928207
AGO,Angola,23475050.818181816,46.83636335893111,8.321909124200994,44.84200044111772,30.5214545510032,4.167090892791748,56.718999385833726,8.592454476789996,34.68854544379495,65.31145386262372
ALB,Albania,2930218.1818181816,44.518090681596235,17.887545498934653,37.59445502541283,40.62136355313388,2.148999994451349,28.83427307822489,28.395363374189877,42.770363547585234,57.229636452414766
ARE,United Arab Emirates,7761585.636363637,3.4442727240649136,36.22590879960493,60.329908544367,96.41427196155895,2.67081823132255,0.9107272303239848,0.004181818189946007,99.08509019288151,0.9149090485139308
ARG,Argentina,40928878.81818182,0.893545456907967,23.70954548228871,75.39690815318716,76.1865463256836,4.131272706118496,18.940636385570876,0.7415454496036915,80.31781903180209,19.682181835174568
ARM,Armenia,2912866.3636363638,37.31109064275567,17.51690907911821,45.17209105058151,56.431818181818194,0.6634545488791036,28.59954541921617,14.305181850086555,57.095272730697296,42.904727269302725
AUS,Australia,22035113.545454547,3.0734545317563153,20.849454879760746,76.07718242298472,82.02545512806286,6.6930909156799325,11.02600027756258,0.255454545671288,88.71854604374279,11.281454823233869
AUT,Austria,8391881.090909092,5.035363674163819,26.245636333118792,68.71909193559128,86.68009047074752,4.682545401833274,6.705454598773604,1.931909095157276,91.3626358725808,8.63736369393088
AZE,Azerbaijan,9026614.727272727,38.10000055486505,13.334545568986373,48.565454656427555,32.408726605502046,11.417272654446698,21.0281813361428,35.14581853693181,43.825999259948745,56.173999873074614
BDI,Burundi,8707573.363636363,92.10754671963778,1.7798181663859964,6.112818197770552,5.277363733811813,0.07245454327626663,63.84063624929298,30.809545343572445,5.3498182770880796,94.65018159286542
BEL,Belgium,10894743.909090908,1.4971818273717719,23.16800030795011,75.33490961248224,85.2698183926669,4.35499993237582,9.225818222219305,1.1493636261333116,89.62481832504272,10.375181848352616
BEN,Benin,9232023.909090908,43.76327202536844,18.902818159623575,37.33418204567649,9.93663631786,1.254181818528609,71.80136346817017,17.007818222045913,11.190818136388609,88.80918169021608
BFA,Burkina Faso,15669249.090909092,47.752727335149594,21.59890920465642,30.648272601040937,9.121636434034865,0.7340000000866976,45.72445413199336,44.419909043745584,9.855636434121562,90.14436317573895
BGD,Bangladesh,147658558.72727272,46.8019097068093,17.151272773742683,36.04663675481622,37.54590953480113,0.5608181709592994,41.738636257973575,20.154636383056648,38.106727705760434,61.89327264103022
BGR,Bulgaria,7405381.363636363,7.246727249839088,32.893636356700554,59.85954527421431,87.51063537597656,3.741000045429578,7.755181816491209,0.9931818084283304,91.25163542140614,8.74836362491954
BHR,Bahrain,1184102.4545454546,1.15290909463709,34.23881808194246,64.60818134654653,96.75381816517225,1.7421818213029354,0.9860908795486774,0.5179090906273234,98.49599998647518,1.5039999701760007
BHS,"Bahamas, The",352425.0909090909,2.6927273273468018,16.402818506414228,80.90436415238814,85.95736278187145,0.012454545633359373,13.77363626591185,0.25654545290903563,85.96981732750481,14.030181718820886
BIH,Bosnia and Herzegovina,3655403.5454545454,19.68636374040083,30.787909074263162,49.52581821788441,73.80509116432884,4.779818188060412,16.309727300297133,5.105363694104284,78.58490935238926,21.415090994401417
BLR,Belarus,9520265.090909092,11.132545557889069,31.89209088412198,56.975454850630335,95.8655444058505,0.8000909035856073,3.3003636068579834,0.03399999998509884,96.66563530943611,3.334363606843082
BLZ,Belize,322395.1818181818,18.8926365592263,16.63254573128441,64.47490830854937,69.25563673539595,6.910090923309325,20.530636137182075,3.3036363775079884,76.16572765870528,23.834272514690063
BOL,Bolivia,10050024.454545455,31.908727125688028,20.234636133367374,47.85663674094461,34.933909156105734,4.965999993410978,39.29090929031371,20.80918208035557,39.899909149516716,60.100091370669276
BRA,Brazil,195557149.45454547,12.910272858359608,22.5634547146884,64.52627251364967,67.41299993341619,4.173909122293645,24.748909473419182,3.6641818176616354,71.58690905570984,28.413091291080818
BRB,Barbados,281528.45454545453,3.0057272477583457,18.198999751697873,78.7951819679954,83.89208984375,0.991363628344102,15.042090854861511,0.07445454597473145,84.8834534720941,15.116545400836243
BRN,Brunei Darussalam,389462.63636363635,0.7262727293101223,19.391454523259934,79.88236444646661,92.48154518821022,2.9234545447609634,4.088545541871678,0.5064545517618004,95.40499973297118,4.5950000936334785
BTN,Bhutan,687137.7272727273,59.964636369185015,8.514272689819343,31.52127283269709,29.000909111716528,0.11309091001749053,29.142637031322195,41.74336346712978,29.114000021734018,70.88600049845198
BWA,Botswana,1972136.9090909092,23.598908857865762,18.79700001803311,57.6039092323997,69.8682729547674,2.5607272928411318,22.55863618850708,5.012363563884389,72.42900024760854,27.57099975239147
CAF,Central African Republic,4328414.363636363,79.0562737204812,5.9090000065890225,15.034999934109763,7.193999984047628,1.12936363436959,53.54154694080351,38.1350905678489,8.323363618417218,91.6766375086524
CAN,Canada,33987427.36363637,1.87363635409962,20.866727135398182,77.26000074906784,84.47281785444778,4.961000052365389,10.433091011914343,0.13309090787714162,89.43381790681318,10.566181919791484
CHE,Switzerland,7832566.454545454,3.6009999838742344,22.076363650235262,74.32281840931287,84.44390938498758,6.106636307456277,7.344454646110545,2.105000008236278,90.55054569244385,9.449454654346823
